day,hour,item,quantity,revenue
Monday,7,Coffee,1,4.5
Monday,7,Coffee,1,4.5
Monday,7,Banana Bread,1,5.5
Monday,7,Toastie,1,6.5
Monday,7,Coffee,1,4.5
Monday,7,Coffee,1,4.5
Monday,7,Toastie,2,13.0
Monday,7,Coffee,1,4.5
Monday,7,Iced Latte,1,5.0
Monday,7,Banana Bread,1,5.5
Monday,8,Muffin,1,5.0
Monday,8,Coffee,1,4.5
Monday,8,Coffee,2,9.0
Monday,8,Coffee,1,4.5
Monday,8,Hot Chocolate,1,4.0
Monday,8,Banana Bread,1,5.5
Monday,8,Croissant,2,9.6
Monday,8,Coffee,1,4.5
Monday,8,Iced Latte,1,5.0
Monday,8,Toastie,1,6.5
Monday,8,Coffee,1,4.5
Monday,8,Banana Bread,1,5.5
Monday,8,Iced Latte,1,5.0
Monday,8,Tea,2,7.0
Monday,9,Iced Latte,1,5.0
Monday,9,Tea,1,3.5
Monday,9,Hot Chocolate,1,4.0
Monday,9,Hot Chocolate,1,4.0
Monday,9,Toastie,1,6.5
Monday,9,Coffee,2,9.0
Monday,9,Coffee,1,4.5
Monday,9,Hot Chocolate,1,4.0
Monday,9,Coffee,1,4.5
Monday,9,Iced Latte,2,10.0
Monday,9,Coffee,1,4.5
Monday,9,Croissant,1,4.8
Monday,9,Coffee,2,9.0
Monday,9,Muffin,2,10.0
Monday,10,Coffee,1,4.5
Monday,10,Banana Bread,1,5.5
Monday,10,Banana Bread,2,11.0
Monday,10,Croissant,2,9.6
Monday,11,Coffee,1,4.5
Monday,11,Muffin,1,5.0
Monday,11,Banana Bread,1,5.5
Monday,11,Coffee,1,4.5
Monday,11,Iced Latte,2,10.0
Monday,12,Coffee,2,9.0
Monday,12,Toastie,2,13.0
Monday,12,Toastie,1,6.5
Monday,12,Hot Chocolate,1,4.0
Monday,12,Hot Chocolate,1,4.0
Monday,12,Banana Bread,1,5.5
Monday,12,Coffee,2,9.0
Monday,12,Coffee,1,4.5
Monday,12,Croissant,1,4.8
Monday,12,Croissant,1,4.8
Monday,12,Muffin,1,5.0
Monday,12,Iced Latte,1,5.0
Monday,13,Muffin,1,5.0
Monday,13,Coffee,1,4.5
Monday,13,Toastie,1,6.5
Monday,13,Toastie,2,13.0
Monday,13,Coffee,1,4.5
Monday,13,Iced Latte,1,5.0
Monday,13,Coffee,1,4.5
Monday,13,Iced Latte,1,5.0
Monday,13,Coffee,2,9.0
Monday,13,Iced Latte,1,5.0
Monday,14,Hot Chocolate,1,4.0
Monday,14,Coffee,2,9.0
Monday,14,Croissant,1,4.8
Monday,14,Banana Bread,2,11.0
Monday,15,Hot Chocolate,2,8.0
Monday,15,Croissant,2,9.6
Monday,15,Coffee,1,4.5
Monday,15,Coffee,1,4.5
Monday,15,Toastie,1,6.5
Monday,15,Toastie,1,6.5
Monday,15,Coffee,1,4.5
Monday,15,Coffee,1,4.5
Tuesday,7,Coffee,1,4.5
