date,day_of_week,total_sales,num_transactions,average_transaction_value
2026-01-01,Thursday,565.95,93,6.09
2026-01-02,Friday,695.65,104,6.69
2026-01-03,Saturday,975.79,125,7.81
2026-01-04,Sunday,805.72,135,5.97
2026-01-05,Monday,631.39,101,6.25
2026-01-06,Tuesday,558.84,94,5.95
2026-01-07,Wednesday,689.69,88,7.84
2026-01-08,Thursday,628.37,90,6.98
2026-01-09,Friday,686.92,114,6.03
2026-01-10,Saturday,1049.04,150,6.99
2026-01-11,Sunday,940.65,136,6.92
2026-01-12,Monday,541.66,89,6.09
2026-01-13,Tuesday,624.16,98,6.37
2026-01-14,Wednesday,670.96,106,6.33
2026-01-15,Thursday,730.35,111,6.58
2026-01-16,Friday,728.05,123,5.92
2026-01-17,Saturday,853.86,139,6.14
2026-01-18,Sunday,933.28,142,6.57
2026-01-19,Monday,640.3,86,7.45
2026-01-20,Tuesday,548.4,89,6.16
2026-01-21,Wednesday,675.45,108,6.25
2026-01-22,Thursday,606.35,86,7.05
2026-01-23,Friday,756.87,103,7.35
2026-01-24,Saturday,868.1,145,5.99
2026-01-25,Sunday,785.72,120,6.55
2026-01-26,Monday,665.94,93,7.16
2026-01-27,Tuesday,584.75,106,5.52
2026-01-28,Wednesday,641.83,86,7.46
2026-01-29,Thursday,731.5,90,8.13
2026-01-30,Friday,848.35,115,7.38
2026-01-31,Saturday,917.16,149,6.16
2026-02-01,Sunday,887.69,154,5.76
2026-02-02,Monday,653.53,84,7.78
2026-02-03,Tuesday,659.15,88,7.49
2026-02-04,Wednesday,627.47,97,6.47
2026-02-05,Thursday,753.43,108,6.98
2026-02-06,Friday,866.7,111,7.81
2026-02-07,Saturday,851.06,156,5.46
2026-02-08,Sunday,906.12,135,6.71
2026-02-09,Monday,699.81,106,6.6
2026-02-10,Tuesday,562.32,85,6.62
2026-02-11,Wednesday,560.45,98,5.72
2026-02-12,Thursday,754.64,101,7.47
2026-02-13,Friday,693.04,117,5.92
2026-02-14,Saturday,883.04,161,5.48
2026-02-15,Sunday,1002.59,152,6.6
2026-02-16,Monday,659.61,92,7.17
2026-02-17,Tuesday,598.67,92,6.51
2026-02-18,Wednesday,591.6,85,6.96
2026-02-19,Thursday,677.49,92,7.36
2026-02-20,Friday,664.68,125,5.32
2026-02-21,Saturday,872.75,163,5.35
2026-02-22,Sunday,766.71,124,6.18
2026-02-23,Monday,566.85,85,6.67
2026-02-24,Tuesday,562.97,91,6.19
2026-02-25,Wednesday,580.56,86,6.75
2026-02-26,Thursday,631.15,97,6.51
2026-02-27,Friday,820.57,135,6.08
2026-02-28,Saturday,824.77,155,5.32
2026-03-01,Sunday,813.65,122,6.67
2026-03-02,Monday,553.07,86,6.43
2026-03-03,Tuesday,564.21,104,5.43
2026-03-04,Wednesday,699.14,108,6.47
2026-03-05,Thursday,571.02,115,4.97
2026-03-06,Friday,889.75,133,6.69
2026-03-07,Saturday,854.9,144,5.94
2026-03-08,Sunday,976.27,151,6.47
2026-03-09,Monday,597.49,109,5.48
2026-03-10,Tuesday,688.05,100,6.88
2026-03-11,Wednesday,625.22,111,5.63
2026-03-12,Thursday,591.65,94,6.29
2026-03-13,Friday,798.53,119,6.71
2026-03-14,Saturday,823.79,149,5.53
2026-03-15,Sunday,763.02,135,5.65
2026-03-16,Monday,539.74,83,6.5
2026-03-17,Tuesday,592.39,104,5.7
2026-03-18,Wednesday,655.15,84,7.8
2026-03-19,Thursday,644.01,103,6.25
2026-03-20,Friday,881.72,108,8.16
2026-03-21,Saturday,875.53,140,6.25
2026-03-22,Sunday,868.71,152,5.72
2026-03-23,Monday,528.73,98,5.4
2026-03-24,Tuesday,531.91,84,6.33
2026-03-25,Wednesday,569.43,94,6.06
2026-03-26,Thursday,735.1,96,7.66
2026-03-27,Friday,765.54,120,6.38
2026-03-28,Saturday,981.83,166,5.91
2026-03-29,Sunday,924.32,137,6.75
2026-03-30,Monday,701.64,85,8.25
2026-03-31,Tuesday,681.32,99,6.88
2026-04-01,Wednesday,596.29,101,5.9
2026-04-02,Thursday,601.31,104,5.78
2026-04-03,Friday,781.27,109,7.17
2026-04-04,Saturday,833.81,142,5.87
2026-04-05,Sunday,759.64,128,5.93
2026-04-06,Monday,645.5,88,7.34
2026-04-07,Tuesday,619.46,90,6.88
2026-04-08,Wednesday,565.48,111,5.09
2026-04-09,Thursday,669.03,110,6.08
2026-04-10,Friday,763.57,102,7.49
2026-04-11,Saturday,1063.71,158,6.73
2026-04-12,Sunday,985.32,123,8.01
2026-04-13,Monday,651.05,91,7.15
2026-04-14,Tuesday,696.71,99,7.04
2026-04-15,Wednesday,710.0,112,6.34
2026-04-16,Thursday,735.52,86,8.55
2026-04-17,Friday,846.08,115,7.36
2026-04-18,Saturday,883.54,158,5.59
2026-04-19,Sunday,848.99,116,7.32
2026-04-20,Monday,568.37,104,5.47
2026-04-21,Tuesday,582.49,101,5.77
2026-04-22,Wednesday,586.8,103,5.7
2026-04-23,Thursday,626.0,111,5.64
2026-04-24,Friday,745.17,118,6.31
2026-04-25,Saturday,1075.18,128,8.4
2026-04-26,Sunday,795.14,154,5.16
2026-04-27,Monday,534.12,98,5.45
2026-04-28,Tuesday,651.82,87,7.49
2026-04-29,Wednesday,617.96,100,6.18
2026-04-30,Thursday,569.79,98,5.81
2026-05-01,Friday,748.23,103,7.26
2026-05-02,Saturday,985.1,152,6.48
2026-05-03,Sunday,938.02,127,7.39
2026-05-04,Monday,651.04,90,7.23
2026-05-05,Tuesday,619.96,83,7.47
2026-05-06,Wednesday,674.05,110,6.13
2026-05-07,Thursday,641.4,110,5.83
2026-05-08,Friday,730.14,116,6.29
2026-05-09,Saturday,940.02,142,6.62
2026-05-10,Sunday,882.95,147,6.01
2026-05-11,Monday,649.55,89,7.3
2026-05-12,Tuesday,535.59,104,5.15
2026-05-13,Wednesday,673.18,90,7.48
2026-05-14,Thursday,590.18,86,6.86
2026-05-15,Friday,806.04,128,6.3
2026-05-16,Saturday,925.62,151,6.13
2026-05-17,Sunday,937.64,130,7.21
2026-05-18,Monday,572.38,99,5.78
2026-05-19,Tuesday,681.86,102,6.68
2026-05-20,Wednesday,693.46,90,7.71
2026-05-21,Thursday,570.94,92,6.21
2026-05-22,Friday,769.81,129,5.97
2026-05-23,Saturday,1078.26,162,6.66
2026-05-24,Sunday,967.27,137,7.06
2026-05-25,Monday,665.32,94,7.08
2026-05-26,Tuesday,656.08,101,6.5
2026-05-27,Wednesday,691.04,99,6.98
2026-05-28,Thursday,615.37,87,7.07
2026-05-29,Friday,717.87,112,6.41
2026-05-30,Saturday,846.94,133,6.37
2026-05-31,Sunday,934.49,117,7.99
2026-06-01,Monday,588.54,94,6.26
2026-06-02,Tuesday,556.35,90,6.18
2026-06-03,Wednesday,708.49,106,6.68
2026-06-04,Thursday,655.44,113,5.8
2026-06-05,Friday,839.31,131,6.41
2026-06-06,Saturday,960.89,155,6.2
2026-06-07,Sunday,876.89,126,6.96
2026-06-08,Monday,532.4,90,5.92
2026-06-09,Tuesday,651.03,101,6.45
2026-06-10,Wednesday,732.3,99,7.4
2026-06-11,Thursday,678.19,105,6.46
2026-06-12,Friday,813.4,105,7.75
2026-06-13,Saturday,859.29,135,6.37
2026-06-14,Sunday,803.88,128,6.28
2026-06-15,Monday,578.76,108,5.36
2026-06-16,Tuesday,564.67,80,7.06
2026-06-17,Wednesday,687.81,85,8.09
2026-06-18,Thursday,605.4,87,6.96
2026-06-19,Friday,839.49,134,6.26
2026-06-20,Saturday,1046.68,150,6.98
2026-06-21,Sunday,781.32,142,5.5
2026-06-22,Monday,613.5,88,6.97
2026-06-23,Tuesday,549.21,95,5.78
2026-06-24,Wednesday,693.34,88,7.88
2026-06-25,Thursday,582.4,86,6.77
2026-06-26,Friday,797.74,132,6.04
2026-06-27,Saturday,920.55,154,5.98
2026-06-28,Sunday,904.31,148,6.11
2026-06-29,Monday,545.95,103,5.3
2026-06-30,Tuesday,664.21,94,7.07
2026-07-01,Wednesday,610.66,96,6.36
2026-07-02,Thursday,574.65,104,5.53
2026-07-03,Friday,861.8,129,6.68
2026-07-04,Saturday,931.05,139,6.7
2026-07-05,Sunday,934.73,132,7.08
2026-07-06,Monday,641.56,107,6.0
2026-07-07,Tuesday,603.57,101,5.98
2026-07-08,Wednesday,605.88,91,6.66
2026-07-09,Thursday,616.23,99,6.22
2026-07-10,Friday,796.34,124,6.42
2026-07-11,Saturday,815.68,160,5.1
2026-07-12,Sunday,876.71,129,6.8
2026-07-13,Monday,590.3,106,5.57
2026-07-14,Tuesday,620.21,92,6.74
2026-07-15,Wednesday,560.44,104,5.39
2026-07-16,Thursday,670.92,92,7.29
2026-07-17,Friday,814.14,118,6.9
2026-07-18,Saturday,834.02,133,6.27
2026-07-19,Sunday,828.84,138,6.01
2026-07-20,Monday,629.95,91,6.92
2026-07-21,Tuesday,582.88,91,6.41
2026-07-22,Wednesday,592.27,87,6.81
2026-07-23,Thursday,623.48,107,5.83
2026-07-24,Friday,707.82,126,5.62
2026-07-25,Saturday,1014.01,166,6.11
2026-07-26,Sunday,1006.85,148,6.8
2026-07-27,Monday,569.31,86,6.62
2026-07-28,Tuesday,648.07,82,7.9
2026-07-29,Wednesday,731.06,100,7.31
2026-07-30,Thursday,687.3,108,6.36
2026-07-31,Friday,867.22,121,7.17
2026-08-01,Saturday,943.93,138,6.84
2026-08-02,Sunday,814.65,150,5.43
2026-08-03,Monday,679.91,92,7.39
2026-08-04,Tuesday,624.09,97,6.43
2026-08-05,Wednesday,572.65,100,5.73
2026-08-06,Thursday,577.87,92,6.28
2026-08-07,Friday,804.88,128,6.29
2026-08-08,Saturday,1028.57,140,7.35
2026-08-09,Sunday,826.5,139,5.95
2026-08-10,Monday,583.8,98,5.96
2026-08-11,Tuesday,691.91,84,8.24
2026-08-12,Wednesday,594.81,86,6.92
2026-08-13,Thursday,595.42,87,6.84
2026-08-14,Friday,758.59,125,6.07
2026-08-15,Saturday,890.51,133,6.7
2026-08-16,Sunday,933.59,133,7.02
2026-08-17,Monday,698.85,103,6.78
2026-08-18,Tuesday,596.3,93,6.41
2026-08-19,Wednesday,718.41,108,6.65
2026-08-20,Thursday,572.81,109,5.26
2026-08-21,Friday,765.76,117,6.54
2026-08-22,Saturday,1006.92,164,6.14
2026-08-23,Sunday,863.57,139,6.21
2026-08-24,Monday,663.62,98,6.77
2026-08-25,Tuesday,535.21,105,5.1
2026-08-26,Wednesday,735.92,103,7.14
2026-08-27,Thursday,675.1,108,6.25
2026-08-28,Friday,773.1,123,6.29
