round,player,score,game_type
1,Priya,69,Arcade Racer
1,Sam,66,Arcade Racer
1,Mia,68,Arcade Racer
1,Leo,48,Arcade Racer
1,Ava,77,Arcade Racer
1,Noah,64,Arcade Racer
2,Priya,68,Trivia Night
2,Sam,53,Trivia Night
2,Mia,75,Trivia Night
2,Leo,40,Trivia Night
2,Ava,75,Trivia Night
2,Noah,61,Trivia Night
3,Priya,83,Arcade Racer
3,Sam,70,Arcade Racer
3,Mia,65,Arcade Racer
3,Leo,42,Arcade Racer
3,Ava,62,Arcade Racer
3,Noah,51,Arcade Racer
4,Priya,71,Table Tennis
4,Sam,59,Table Tennis
4,Mia,71,Table Tennis
4,Leo,53,Table Tennis
4,Ava,71,Table Tennis
4,Noah,50,Table Tennis
5,Priya,69,Trivia Night
5,Sam,49,Trivia Night
5,Mia,61,Trivia Night
5,Leo,50,Trivia Night
5,Ava,87,Trivia Night
5,Noah,51,Trivia Night
6,Priya,74,Table Tennis
6,Sam,55,Table Tennis
6,Mia,66,Table Tennis
6,Leo,59,Table Tennis
6,Ava,74,Table Tennis
6,Noah,68,Table Tennis
7,Priya,80,Retro Fighter
7,Sam,73,Retro Fighter
7,Mia,59,Retro Fighter
7,Leo,57,Retro Fighter
7,Ava,85,Retro Fighter
7,Noah,65,Retro Fighter
8,Priya,78,Arcade Racer
8,Sam,73,Arcade Racer
8,Mia,60,Arcade Racer
8,Leo,47,Arcade Racer
8,Ava,89,Arcade Racer
8,Noah,52,Arcade Racer
9,Priya,75,Board Game Blitz
9,Sam,55,Board Game Blitz
9,Mia,79,Board Game Blitz
9,Leo,54,Board Game Blitz
9,Ava,81,Board Game Blitz
9,Noah,47,Board Game Blitz
10,Priya,70,Table Tennis
10,Sam,63,Table Tennis
10,Mia,84,Table Tennis
10,Leo,50,Table Tennis
10,Ava,75,Table Tennis
10,Noah,58,Table Tennis
11,Priya,73,Table Tennis
11,Sam,72,Table Tennis
11,Mia,79,Table Tennis
11,Leo,34,Table Tennis
11,Ava,66,Table Tennis
11,Noah,41,Table Tennis
12,Priya,72,Board Game Blitz
12,Sam,67,Board Game Blitz
12,Mia,73,Board Game Blitz
12,Leo,64,Board Game Blitz
12,Ava,71,Board Game Blitz
12,Noah,61,Board Game Blitz
13,Priya,82,Trivia Night
13,Sam,66,Trivia Night
13,Mia,66,Trivia Night
13,Leo,49,Trivia Night
13,Ava,72,Trivia Night
13,Noah,67,Trivia Night
14,Priya,86,Retro Fighter
14,Sam,79,Retro Fighter
14,Mia,73,Retro Fighter
14,Leo,39,Retro Fighter
14,Ava,69,Retro Fighter
14,Noah,63,Retro Fighter
15,Priya,80,Arcade Racer
15,Sam,64,Arcade Racer
15,Mia,73,Arcade Racer
15,Leo,48,Arcade Racer
15,Ava,74,Arcade Racer
15,Noah,61,Arcade Racer
16,Priya,82,Arcade Racer
16,Sam,54,Arcade Racer
16,Mia,85,Arcade Racer
16,Leo,41,Arcade Racer
16,Ava,88,Arcade Racer
16,Noah,66,Arcade Racer
17,Priya,80,Retro Fighter
17,Sam,65,Retro Fighter
17,Mia,76,Retro Fighter
17,Leo,51,Retro Fighter
17,Ava,85,Retro Fighter
17,Noah,49,Retro Fighter
18,Priya,85,Trivia Night
18,Sam,65,Trivia Night
18,Mia,83,Trivia Night
18,Leo,60,Trivia Night
18,Ava,96,Trivia Night
18,Noah,75,Trivia Night
19,Priya,87,Trivia Night
19,Sam,72,Trivia Night
19,Mia,66,Trivia Night
19,Leo,48,Trivia Night
19,Ava,72,Trivia Night
19,Noah,51,Trivia Night
20,Priya,73,Table Tennis
20,Sam,60,Table Tennis
20,Mia,72,Table Tennis
20,Leo,66,Table Tennis
20,Ava,50,Table Tennis
20,Noah,74,Table Tennis
21,Priya,73,Arcade Racer
21,Sam,66,Arcade Racer
21,Mia,68,Arcade Racer
21,Leo,63,Arcade Racer
21,Ava,75,Arcade Racer
21,Noah,87,Arcade Racer
22,Priya,75,Board Game Blitz
22,Sam,63,Board Game Blitz
22,Mia,80,Board Game Blitz
22,Leo,56,Board Game Blitz
22,Ava,82,Board Game Blitz
22,Noah,76,Board Game Blitz
23,Priya,86,Trivia Night
23,Sam,58,Trivia Night
23,Mia,89,Trivia Night
23,Leo,65,Trivia Night
23,Ava,76,Trivia Night
23,Noah,72,Trivia Night
24,Priya,73,Trivia Night
24,Sam,60,Trivia Night
24,Mia,81,Trivia Night
24,Leo,47,Trivia Night
24,Ava,83,Trivia Night
24,Noah,57,Trivia Night
25,Priya,97,Table Tennis
25,Sam,54,Table Tennis
25,Mia,67,Table Tennis
25,Leo,46,Table Tennis
25,Ava,100,Table Tennis
25,Noah,52,Table Tennis
26,Priya,98,Trivia Night
26,Sam,72,Trivia Night
26,Mia,67,Trivia Night
26,Leo,58,Trivia Night
26,Ava,98,Trivia Night
26,Noah,50,Trivia Night
27,Priya,87,Arcade Racer
27,Sam,68,Arcade Racer
27,Mia,71,Arcade Racer
27,Leo,76,Arcade Racer
27,Ava,76,Arcade Racer
27,Noah,55,Arcade Racer
28,Priya,84,Arcade Racer
28,Sam,80,Arcade Racer
28,Mia,63,Arcade Racer
28,Leo,50,Arcade Racer
28,Ava,100,Arcade Racer
28,Noah,80,Arcade Racer
29,Priya,74,Arcade Racer
29,Sam,81,Arcade Racer
29,Mia,95,Arcade Racer
29,Leo,67,Arcade Racer
29,Ava,70,Arcade Racer
29,Noah,73,Arcade Racer
30,Priya,89,Trivia Night
30,Sam,73,Trivia Night
30,Mia,80,Trivia Night
30,Leo,47,Trivia Night
30,Ava,76,Trivia Night
30,Noah,67,Trivia Night
31,Priya,72,Trivia Night
31,Sam,68,Trivia Night
31,Mia,63,Trivia Night
31,Leo,63,Trivia Night
31,Ava,86,Trivia Night
31,Noah,81,Trivia Night
32,Priya,75,Table Tennis
32,Sam,73,Table Tennis
32,Mia,84,Table Tennis
32,Leo,50,Table Tennis
32,Ava,82,Table Tennis
32,Noah,66,Table Tennis
33,Priya,85,Trivia Night
33,Sam,69,Trivia Night
33,Mia,57,Trivia Night
33,Leo,57,Trivia Night
33,Ava,82,Trivia Night
33,Noah,66,Trivia Night
34,Priya,88,Retro Fighter
34,Sam,88,Retro Fighter
34,Mia,93,Retro Fighter
34,Leo,48,Retro Fighter
34,Ava,89,Retro Fighter
34,Noah,59,Retro Fighter
35,Priya,85,Arcade Racer
35,Sam,70,Arcade Racer
35,Mia,95,Arcade Racer
35,Leo,59,Arcade Racer
35,Ava,76,Arcade Racer
35,Noah,68,Arcade Racer
36,Priya,81,Trivia Night
36,Sam,69,Trivia Night
36,Mia,81,Trivia Night
36,Leo,55,Trivia Night
36,Ava,89,Trivia Night
36,Noah,67,Trivia Night
37,Priya,94,Table Tennis
37,Sam,73,Table Tennis
37,Mia,73,Table Tennis
37,Leo,68,Table Tennis
37,Ava,101,Table Tennis
37,Noah,72,Table Tennis
38,Priya,108,Board Game Blitz
38,Sam,77,Board Game Blitz
38,Mia,84,Board Game Blitz
38,Leo,59,Board Game Blitz
38,Ava,101,Board Game Blitz
38,Noah,64,Board Game Blitz
39,Priya,85,Board Game Blitz
39,Sam,74,Board Game Blitz
39,Mia,69,Board Game Blitz
39,Leo,56,Board Game Blitz
39,Ava,115,Board Game Blitz
39,Noah,58,Board Game Blitz
40,Priya,84,Retro Fighter
40,Sam,70,Retro Fighter
40,Mia,89,Retro Fighter
40,Leo,66,Retro Fighter
40,Ava,79,Retro Fighter
40,Noah,79,Retro Fighter
41,Priya,81,Retro Fighter
41,Sam,76,Retro Fighter
41,Mia,83,Retro Fighter
41,Leo,79,Retro Fighter
41,Ava,93,Retro Fighter
41,Noah,44,Retro Fighter
42,Priya,88,Arcade Racer
42,Sam,76,Arcade Racer
42,Mia,83,Arcade Racer
42,Leo,63,Arcade Racer
42,Ava,104,Arcade Racer
42,Noah,73,Arcade Racer
43,Priya,96,Trivia Night
43,Sam,72,Trivia Night
43,Mia,92,Trivia Night
43,Leo,68,Trivia Night
43,Ava,77,Trivia Night
43,Noah,51,Trivia Night
44,Priya,90,Table Tennis
44,Sam,84,Table Tennis
44,Mia,82,Table Tennis
44,Leo,69,Table Tennis
44,Ava,82,Table Tennis
44,Noah,91,Table Tennis
45,Priya,73,Arcade Racer
45,Sam,88,Arcade Racer
45,Mia,77,Arcade Racer
45,Leo,78,Arcade Racer
45,Ava,105,Arcade Racer
45,Noah,63,Arcade Racer
46,Priya,90,Board Game Blitz
46,Sam,54,Board Game Blitz
46,Mia,90,Board Game Blitz
46,Leo,78,Board Game Blitz
46,Ava,104,Board Game Blitz
46,Noah,67,Board Game Blitz
47,Priya,83,Trivia Night
47,Sam,85,Trivia Night
47,Mia,81,Trivia Night
47,Leo,56,Trivia Night
47,Ava,77,Trivia Night
47,Noah,71,Trivia Night
48,Priya,76,Retro Fighter
